B.A TAMIL,B.A ENGLISH,B.B.A,B.C.A,B.Com,B.Com ACCOUNTING AND FINANCE,B.Com With COMPUTER APPLICATIONS,B.Sc COMPUTER SCIENCE (ARTIFICIAL INTELLIGENCE AND DATA SCIENCE),B.Sc BIOCHEMISTRY,B.Sc COSTUME DESIGN AND FASHION,B.Sc CLINICAL LABORATORY TECHNOLOGY,B.Sc COMPUTER SCIENCE, B.Sc COMPUTER SCIENCE (CYBER SECURITY),B.Sc DATA SCIENCE,B.Sc INFORMATION TECHNOLOGY, B.Sc MICROBIOLOGY,B.Sc TEXTILE AND FASHION DESIGNING,B.Sc VISUAL COMMUNICATION
,,,,C23UG208COM097,,C23UG208CCA099,,,,,,,,,,,
,,,,C23UG208COM098,,C23UG208CCA100,,,,,,,,,,,
,,,,C23UG208COM099,,C23UG208CCA101,,,,,,,,,,,
,,,,C23UG208COM100,,C23UG208CCA102,,,,,,,,,,,
,,,,C23UG208COM101,,C23UG208CCA103,,,,,,,,,,,
,,,,C23UG208COM102,,C23UG208CCA104,,,,,,,,,,,
,,,,C23UG208COM103,,C23UG208CCA105,,,,,,,,,,,
,,,,C23UG208COM104,,C23UG208CCA106,,,,,,,,,,,
,,,,C23UG208COM105,,C23UG208CCA107,,,,,,,,,,,
,,,,C23UG208COM106,,C23UG208CCA108,,,,,,,,,,,
,,,,C23UG208COM111,,C23UG208CCA109,,,,,,,,,,,
,,,,C23UG208COM112,,C23UG208CCA110,,,,,,,,,,,
,,,,C23UG208COM114,,C23UG208CCA111,,,,,,,,,,,
,,,,C23UG208COM115,,C23UG208CCA113,,,,,,,,,,,
,,,,C23UG208COM116,,C23UG208CCA115,,,,,,,,,,,
,,,,C23UG208COM117,,C23UG208CCA116,,,,,,,,,,,
,,,,C23UG208COM118,,C23UG208CCA117,,,,,,,,,,,
,,,,C23UG208COM119,,C23UG208CCA119,,,,,,,,,,,
,,,,C23UG208COM120,,C23UG208CCA120,,,,,,,,,,,
,,,,C23UG208COM122,,C23UG208CCA121,,,,,,,,,,,
,,,,C23UG208COM123,,C23UG208CCA122,,,,,,,,,,,
,,,,C23UG208COM124,,C23UG208CCA123,,,,,,,,,,,
,,,,C23UG208COM125,,C23UG208CCA124,,,,,,,,,,,
,,,,C23UG208COM126,,C23UG208CCA125,,,,,,,,,,,
,,,,C23UG208COM127,,C23UG208CCA126,,,,,,,,,,,
,,,,C23UG208COM128,,C23UG208CCA127,,,,,,,,,,,
,,,,C23UG208COM129,,C23UG208CCA128,,,,,,,,,,,
,,,,C23UG208COM130,,C23UG208CCA129,,,,,,,,,,,
,,,,C23UG208COM131,,C23UG208CCA130,,,,,,,,,,,
,,,,C23UG208COM132,,C23UG208CCA131,,,,,,,,,,,
,,,,C23UG208COM133,,C23UG208CCA132,,,,,,,,,,,
,,,,,,C23UG208CCA133,,,,,,,,,,,
,,,,,,C23UG208CCA135,,,,,,,,,,,
